dstport,protocol,tag
788,TCP,Database
106,AH,SG-840
858,OSPF,App1
27,UDP,Test
26706,AH,Web
562,AH,Prod
56391,GRE,Prod
599,IPv6,SG-682
205,UDP,Prod
7839,ESP,Prod
556,GRE,SG-632
268,ICMPv6,SG-529
739,AH,Web
57201,GRE,SG-582
309,ICMP,Cache
60614,UDP,Database
429,ICMPv6,Dev
389,IPv6,SG-681
104,IPv6,Cache
987,ICMPv6,App3
836,ICMPv6,Staging
136,OSPF,Dev
793,AH,App1
744,UDP,SG-362
261,IPv6,App4
23917,AH,App3
522,UDP,Test
554,GRE,Dev
785,ESP,Dev
42038,ICMPv6,SG-960
370,ICMP,SG-981
24,ICMP,SG-417
29493,AH,App3
17386,IPv6,App4
698,AH,Staging
771,ESP,Test
682,IPv6,Test
110,OSPF,SG-280
30086,ICMP,Web
39322,IPv6,App4
7509,ICMPv6,App1
74,UDP,Web
65120,IPv6,SG-74
972,ICMPv6,SG-532
802,ICMP,App3
779,TCP,App4
353,IPv6,Database
781,ESP,Test
274,ESP,Cache
649,GRE,Staging
34081,IPv6,Messaging
472,OSPF,Dev
38958,UDP,App4
837,AH,Web
634,IPv6,Messaging
9260,OSPF,App2
212,ICMP,SG-782
997,GRE,App1
566,AH,App4
388,OSPF,App2
951,ICMPv6,Messaging
6073,ICMP,Test
641,ESP,Web
69,ICMP,SG-194
26779,UDP,SG-250
63517,ESP,Staging
100,TCP,Dev
8,ESP,SG-110
7685,TCP,Staging
958,TCP,Prod
850,IPv6,Web
464,TCP,Database
40,ICMP,SG-633
3393,OSPF,Prod
511,ESP,SG-81
42647,TCP,SG-747
61934,AH,Database
943,ICMP,Web
958,OSPF,Database
117,UDP,SG-592
280,UDP,Database
457,ICMPv6,SG-487
19626,ESP,Test
4,ICMP,Staging
653,TCP,SG-497
228,TCP,SG-782
995,ESP,Web
71,TCP,SG-573
561,ESP,Test
47123,AH,SG-952
792,GRE,Dev
898,AH,App3
586,TCP,Messaging
123,ICMP,SG-144
316,ESP,Messaging
60730,AH,Database
25120,ICMP,App1
540,GRE,App1
207,IPv6,App3
170,ESP,Database
275,AH,SG-818
50362,AH,App2
556,ESP,SG-426
651,GRE,Prod
334,IPv6,App3
705,TCP,App2
682,UDP,App1
53419,ICMP,Dev
