Port,Protocol,Count
330,AH,9
280,IPv6,8
775,ICMPv6,9
63318,ESP,1
596,AH,16
463,AH,11
50326,ICMPv6,1
641,ICMPv6,14
632,OSPF,8
52412,AH,1
765,OSPF,9
78,ICMPv6,10
898,OSPF,14
20787,TCP,1
69,OSPF,15
40707,ICMP,1
64805,ICMP,1
27990,ICMP,1
50372,GRE,1
776,ICMPv6,7
597,AH,6
464,AH,10
331,AH,10
640,ICMPv6,4
48581,TCP,1
46213,IPv6,1
764,OSPF,16
631,OSPF,5
77,ICMPv6,7
897,OSPF,10
68,OSPF,11
65036,ICMP,1
282,IPv6,15
777,ICMPv6,9
75,ICMPv6,9
45422,GRE,1
57440,AH,1
598,AH,10
465,AH,11
43333,ICMP,1
332,AH,11
690,GRE,10
46172,UDP,1
76,ICMPv6,12
634,OSPF,4
501,OSPF,13
52543,AH,1
767,OSPF,12
28474,IPv6,1
7926,UDP,1
29057,OSPF,1
200,AH,8
54153,ICMPv6,1
778,ICMPv6,8
74,ICMPv6,10
281,IPv6,10
22656,GRE,1
599,AH,12
466,AH,6
333,AH,10
51591,ESP,1
36270,OSPF,1
52711,OSPF,1
61494,OSPF,1
9365,TCP,1
691,GRE,9
500,OSPF,12
633,OSPF,14
766,OSPF,8
899,OSPF,9
50770,TCP,1
284,IPv6,7
151,IPv6,13
201,AH,12
16522,ESP,1
54072,GRE,1
467,AH,4
334,AH,10
771,ICMPv6,4
52641,GRE,1
692,GRE,7
512,ICMPv6,11
645,ICMPv6,11
9368,TCP,1
1828,UDP,1
636,OSPF,8
503,OSPF,7
769,OSPF,8
283,IPv6,13
202,AH,10
150,IPv6,7
32447,OSPF,1
29060,ICMPv6,1
468,AH,14
335,AH,14
25978,IPv6,1
50110,GRE,1
772,ICMPv6,11
62560,OSPF,1
15822,UDP,1
693,GRE,11
53615,AH,1
62114,ESP,1
560,GRE,7
511,ICMPv6,11
644,ICMPv6,12
52194,UDP,1
502,OSPF,8
768,OSPF,5
635,OSPF,9
153,IPv6,7
639,OSPF,9
286,IPv6,13
60166,OSPF,1
50132,ESP,1
203,AH,10
48008,ICMPv6,1
34850,ICMPv6,1
469,AH,10
336,AH,10
773,ICMPv6,10
580,ESP,8
58954,ICMPv6,1
694,GRE,13
561,GRE,13
510,ICMPv6,3
643,ICMPv6,5
63592,AH,1
638,OSPF,11
505,OSPF,9
9959,ESP,1
152,IPv6,9
285,IPv6,10
26073,IPv6,1
17132,TCP,1
204,AH,9
50641,TCP,1
17967,GRE,1
50112,GRE,1
337,AH,7
774,ICMPv6,12
2813,ICMP,1
49816,IPv6,1
581,ESP,14
562,GRE,8
695,GRE,5
642,ICMPv6,7
53879,AH,1
61424,TCP,1
79,ICMPv6,8
57870,OSPF,1
7717,ICMP,1
504,OSPF,10
637,OSPF,13
508,OSPF,5
41,ICMP,12
205,AH,14
10889,ICMPv6,1
338,AH,5
5957,IPv6,1
288,IPv6,6
58037,TCP,1
155,IPv6,11
582,ESP,9
871,ICMP,17
696,GRE,7
430,GRE,10
563,GRE,12
35693,IPv6,1
6772,ICMP,1
27556,GRE,1
516,ICMPv6,6
649,ICMPv6,7
63016,IPv6,1
64622,GRE,1
154,IPv6,14
40,ICMP,9
507,OSPF,14
24268,ICMP,1
206,AH,9
583,ESP,7
34058,UDP,1
450,ESP,11
287,IPv6,8
431,GRE,12
870,ICMP,18
61336,ICMP,1
6994,TCP,1
564,GRE,12
960,TCP,14
40248,IPv6,1
339,AH,13
26620,TCP,1
515,ICMPv6,11
648,ICMPv6,10
59357,UDP,1
697,GRE,9
506,OSPF,13
59102,TCP,1
45624,OSPF,1
12793,IPv6,1
584,ESP,14
43154,GRE,1
62393,AH,1
34057,UDP,2
451,ESP,11
157,IPv6,11
7386,IPv6,1
432,GRE,12
950,UDP,12
