Port,Protocol,Count
330,AH,9
29189,OSPF,1
65259,TCP,1
280,IPv6,9
29986,AH,1
775,ICMPv6,10
50373,GRE,1
596,AH,8
463,AH,8
50326,ICMPv6,1
641,ICMPv6,10
51479,AH,1
632,OSPF,11
765,OSPF,10
78,ICMPv6,11
898,OSPF,9
33773,OSPF,1
42136,ICMP,1
69,OSPF,6
776,ICMPv6,9
60170,ICMPv6,1
57572,AH,1
23063,ICMP,1
597,AH,8
58940,OSPF,1
52847,OSPF,1
464,AH,11
45810,UDP,1
331,AH,6
63829,TCP,1
55211,OSPF,1
640,ICMPv6,8
51570,GRE,1
28789,AH,1
631,OSPF,5
77,ICMPv6,9
764,OSPF,14
50682,ICMP,1
897,OSPF,6
52361,IPv6,1
68,OSPF,8
282,IPv6,10
777,ICMPv6,5
75,ICMPv6,10
17004,TCP,1
598,AH,14
465,AH,9
332,AH,13
52859,ICMPv6,1
24480,TCP,1
690,GRE,5
76,ICMPv6,11
26123,AH,1
634,OSPF,11
501,OSPF,15
767,OSPF,9
50760,UDP,1
31254,ICMPv6,1
200,AH,10
56190,IPv6,1
778,ICMPv6,8
74,ICMPv6,10
281,IPv6,8
599,AH,9
466,AH,11
333,AH,8
19797,TCP,1
52711,OSPF,1
691,GRE,13
9525,IPv6,1
500,OSPF,5
633,OSPF,10
766,OSPF,9
50680,ICMP,1
899,OSPF,15
55479,OSPF,1
61361,OSPF,1
55213,OSPF,1
284,IPv6,14
151,IPv6,8
201,AH,4
52416,AH,1
52774,GRE,1
467,AH,5
55481,ICMPv6,2
334,AH,12
771,ICMPv6,14
51034,IPv6,1
51960,UDP,1
692,GRE,9
512,ICMPv6,8
645,ICMPv6,10
51883,ICMP,1
7939,TCP,1
26240,ESP,1
50762,UDP,1
636,OSPF,11
503,OSPF,7
769,OSPF,9
31389,ICMPv6,1
283,IPv6,8
202,AH,6
150,IPv6,5
25462,ICMP,1
34975,OSPF,1
468,AH,10
335,AH,11
772,ICMPv6,10
693,GRE,11
560,GRE,10
511,ICMPv6,7
20303,ICMP,1
50553,ICMP,1
644,ICMPv6,10
50589,ICMPv6,1
50803,IPv6,1
24487,TCP,1
502,OSPF,11
635,OSPF,14
26372,ESP,1
768,OSPF,18
23989,GRE,1
153,IPv6,10
60033,OSPF,1
639,OSPF,7
286,IPv6,8
60166,OSPF,1
203,AH,12
48367,ICMP,1
469,AH,10
336,AH,21
773,ICMPv6,11
580,ESP,14
694,GRE,2
561,GRE,12
55474,OSPF,1
510,ICMPv6,9
643,ICMPv6,12
638,OSPF,10
505,OSPF,13
48180,GRE,1
14637,TCP,1
152,IPv6,7
285,IPv6,8
204,AH,10
337,AH,11
774,ICMPv6,9
581,ESP,10
562,GRE,12
695,GRE,8
642,ICMPv6,7
79,ICMPv6,7
504,OSPF,8
637,OSPF,4
42399,ICMP,1
508,OSPF,10
58608,GRE,1
41,ICMP,7
24269,ICMP,1
205,AH,8
338,AH,6
62262,AH,1
58627,ESP,1
15640,OSPF,1
288,IPv6,13
155,IPv6,6
582,ESP,17
871,ICMP,13
696,GRE,4
563,GRE,8
33657,ICMPv6,1
430,GRE,13
49283,AH,1
48086,AH,1
516,ICMPv6,7
649,ICMPv6,12
11510,AH,1
10615,OSPF,1
40,ICMP,10
507,OSPF,11
154,IPv6,7
59189,ICMPv6,1
17916,ICMPv6,1
62878,UDP,1
25179,ESP,1
206,AH,11
27951,TCP,1
65164,ICMP,1
583,ESP,6
7681,ESP,1
28623,GRE,1
6333,GRE,1
450,ESP,7
287,IPv6,6
431,GRE,11
870,ICMP,11
64642,ESP,1
26376,ESP,1
564,GRE,10
960,TCP,7
339,AH,11
25200,ICMP,1
515,ICMPv6,11
648,ICMPv6,8
697,GRE,13
506,OSPF,7
44482,GRE,1
32627,UDP,1
584,ESP,7
451,ESP,12
157,IPv6,11
432,GRE,11
961,TCP,10
950,UDP,13
873,ICMP,11
740,ICMP,7
207,AH,7
514,ICMPv6,6
647,ICMPv6,12
9969,AH,1
59013,ICMP,1
698,GRE,12
44,ICMP,16
565,GRE,6
55406,TCP,1
8584,IPv6,1
10391,IPv6,1
42,ICMP,9
509,OSPF,11
63579,ESP,1
585,ESP,9
452,ESP,10
6415,ICMPv6,1
10443,AH,1
289,IPv6,9
156,IPv6,9
962,TCP,8
951,UDP,8
300,GRE,6
32128,ESP,1
35694,IPv6,1
6486,ESP,1
872,ICMP,12
24000,ICMP,1
513,ICMPv6,8
208,AH,10
646,ICMPv6,5
566,GRE,10
43,ICMP,9
433,GRE,7
699,GRE,10
11640,AH,1
1471,AH,1
56648,ICMP,1
779,ICMPv6,12
58912,ICMP,1
453,ESP,15
586,ESP,10
159,IPv6,10
320,ESP,11
8999,GRE,1
4247,ICMP,1
963,TCP,10
952,UDP,16
38545,OSPF,1
52710,OSPF,1
875,ICMP,7
742,ICMP,6
830,TCP,9
33034,IPv6,1
209,AH,7
7879,ICMPv6,1
64706,ICMPv6,1
40739,ICMPv6,1
301,GRE,17
46,ICMP,14
434,GRE,13
567,GRE,14
65035,ICMP,1
58869,GRE,1
56647,ICMP,2
28043,UDP,1
65376,UDP,1
30829,ESP,1
321,ESP,12
454,ESP,13
158,IPv6,14
57978,ICMP,1
6355,ESP,1
9273,ICMP,1
587,ESP,16
874,ICMP,8
741,ICMP,12
820,UDP,12
831,TCP,13
964,TCP,6
953,UDP,6
59364,TCP,1
42824,AH,1
435,GRE,14
29901,ICMPv6,1
519,ICMPv6,9
45,ICMP,11
568,GRE,13
302,GRE,10
64629,GRE,1
65124,TCP,1
322,ESP,9
32554,ICMP,1
63739,ICMP,1
821,UDP,11
832,TCP,17
17049,ICMP,1
611,ICMP,12
588,ESP,9
20293,AH,1
28772,ESP,1
6722,UDP,1
954,UDP,11
965,TCP,10
455,ESP,7
7537,GRE,1
18325,UDP,1
48,ICMP,13
569,GRE,15
877,ICMP,10
744,ICMP,17
35300,IPv6,1
303,GRE,11
518,ICMPv6,12
436,GRE,4
59223,UDP,1
40737,ICMPv6,1
1470,AH,1
7258,IPv6,1
32938,IPv6,1
17007,TCP,1
38111,AH,1
63738,ICMP,1
700,TCP,14
833,TCP,5
822,UDP,5
610,ICMP,13
28529,AH,1
743,ICMP,8
966,TCP,10
955,UDP,14
323,ESP,13
456,ESP,13
589,ESP,7
47,ICMP,15
437,GRE,6
18114,ICMP,1
876,ICMP,11
40523,GRE,1
517,ICMPv6,6
304,GRE,11
42959,AH,1
59366,TCP,1
1022,IPv6,14
3868,AH,1
38185,IPv6,1
60350,TCP,1
34796,ESP,1
39869,OSPF,1
11817,ICMPv6,1
701,TCP,9
58897,ESP,1
834,TCP,9
823,UDP,7
956,UDP,17
967,TCP,13
457,ESP,7
1431,GRE,1
324,ESP,7
57546,GRE,1
879,ICMP,15
63274,IPv6,1
33742,ICMP,1
746,ICMP,10
31578,TCP,1
305,GRE,13
57098,UDP,1
3914,ICMPv6,1
63990,ICMP,1
438,GRE,7
59668,IPv6,1
613,ICMP,14
13720,IPv6,1
42288,OSPF,1
