dstport,protocol,tag
327,IPv6,SG-785
854,AH,App1
51237,ESP,SG-846
788,TCP,App4
44387,UDP,App1
249,UDP,Web
509,ICMPv6,App2
885,UDP,Test
829,ICMPv6,Cache
565,GRE,Prod
578,UDP,SG-525
799,UDP,Cache
864,IPv6,SG-291
346,AH,Web
516,OSPF,App2
757,UDP,SG-579
45399,ESP,Cache
4366,ESP,SG-885
626,ICMPv6,SG-852
424,ICMP,App3
178,GRE,Staging
572,UDP,SG-74
13372,IPv6,App1
869,UDP,Dev
136,ESP,App2
580,TCP,Staging
148,ICMP,Cache
255,IPv6,Staging
462,TCP,App1
872,UDP,Database
688,ESP,App4
963,OSPF,Staging
285,ICMPv6,SG-302
741,IPv6,SG-254
16134,ESP,App1
58835,ICMPv6,SG-727
21387,TCP,Web
390,ESP,Cache
288,ICMPv6,Staging
313,OSPF,Test
267,TCP,SG-283
20739,UDP,App3
584,UDP,Test
701,IPv6,Database
681,OSPF,Database
632,TCP,SG-245
52649,AH,Web
64272,GRE,Prod
492,IPv6,Database
754,IPv6,Dev
11320,ICMP,SG-523
405,ICMPv6,Messaging
2369,IPv6,Prod
17407,TCP,SG-224
276,ESP,Messaging
682,ESP,Database
493,ICMP,Database
60353,IPv6,App4
1013,GRE,SG-885
14,AH,App3
3543,TCP,App2
890,IPv6,Dev
918,UDP,SG-887
98,TCP,Test
839,GRE,App3
84,IPv6,SG-85
249,ESP,App4
626,ESP,App2
306,AH,App1
991,OSPF,Cache
40797,UDP,Web
117,TCP,Dev
2916,TCP,Database
52415,ICMPv6,App3
28689,ICMP,SG-708
18368,GRE,SG-294
58122,AH,Staging
734,UDP,App4
614,ESP,Prod
41190,IPv6,Database
261,TCP,SG-611
233,OSPF,Messaging
321,ESP,Cache
498,AH,Prod
116,ICMP,Dev
40295,IPv6,SG-25
156,AH,Database
258,UDP,Dev
25,GRE,App4
501,ESP,Dev
65046,UDP,Test
715,IPv6,App4
197,ICMPv6,App4
545,ICMPv6,App3
51161,ESP,Prod
569,GRE,SG-630
422,AH,Messaging
945,ICMPv6,Staging
332,GRE,Web
23848,TCP,Web
215,IPv6,Test
315,AH,Test
668,IPv6,Web
42439,OSPF,Staging
29882,UDP,Database
89,ICMP,App2
11,UDP,App2
111,UDP,Staging
529,ICMP,App3
61208,ESP,Dev
345,ICMP,Test
712,ICMP,App2
15085,ESP,App4
1004,ICMP,SG-957
658,ICMP,Test
45877,OSPF,Prod
988,AH,Cache
879,IPv6,Messaging
71,ESP,Test
82,AH,SG-377
41739,ICMPv6,Staging
4197,GRE,Cache
954,ICMPv6,SG-103
828,OSPF,SG-227
163,IPv6,Database
609,ESP,Cache
60234,ESP,App2
945,ICMP,SG-982
631,ESP,App2
896,IPv6,App2
389,OSPF,Database
656,ICMP,Test
527,ICMP,App4
986,IPv6,Test
889,ESP,App1
61064,GRE,Database
811,UDP,Messaging
951,AH,Dev
17,IPv6,SG-2
182,UDP,App1
804,OSPF,Prod
326,GRE,Database
79,GRE,Database
968,AH,Cache
674,AH,Web
464,GRE,SG-389
53501,ICMPv6,Cache
23007,AH,SG-729
902,ICMPv6,SG-562
956,ICMP,Database
530,ICMP,Staging
649,GRE,App3
2957,UDP,App4
48259,ICMP,App3
63274,ICMP,Database
38496,AH,Prod
641,AH,Staging
29,ICMPv6,App2
224,ICMPv6,SG-444
206,AH,SG-568
101,AH,Web
590,OSPF,Messaging
195,UDP,Messaging
17161,IPv6,Staging
148,UDP,Database
23942,IPv6,Messaging
191,GRE,SG-48
836,IPv6,SG-578
492,ICMPv6,Staging
40,IPv6,SG-728
99,UDP,Database
57047,UDP,App3
968,IPv6,SG-217
716,GRE,Prod
814,ESP,Prod
618,GRE,Staging
49742,UDP,SG-842
482,ESP,Test
739,IPv6,Staging
34649,TCP,SG-166
271,ICMP,Staging
311,UDP,Cache
647,IPv6,SG-11
546,TCP,SG-68
685,ESP,App4
24043,TCP,SG-352
15,OSPF,Cache
56668,ICMPv6,Database
537,TCP,SG-927
131,ESP,Cache
99,ESP,Staging
345,UDP,Database
36859,ICMPv6,Messaging
1016,ICMPv6,Test
62120,UDP,Staging
935,AH,SG-182
957,TCP,Web
504,UDP,Test
133,ICMP,App3
41714,UDP,App4
180,UDP,Dev
87,ICMPv6,Prod
363,ICMP,App3
395,OSPF,Database
4030,ESP,SG-408
129,ICMPv6,Staging
10,ESP,SG-677
57,TCP,Prod
221,AH,SG-527
59357,AH,App2
900,UDP,Cache
5518,TCP,Cache
437,UDP,SG-475
443,UDP,Cache
686,UDP,App2
480,GRE,Dev
505,ESP,Staging
276,ICMP,App4
853,UDP,App4
898,UDP,Prod
540,TCP,SG-984
466,UDP,Database
464,IPv6,Database
11728,ESP,App1
755,UDP,Messaging
93,ESP,Web
823,UDP,App2
13355,GRE,Messaging
51440,ICMP,Database
703,OSPF,Web
512,GRE,Cache
980,ESP,Web
861,AH,Database
39855,ICMPv6,SG-289
790,ICMPv6,App1
841,IPv6,Cache
54131,ESP,Test
45,OSPF,Test
63163,OSPF,Database
900,TCP,Staging
181,UDP,Prod
46869,TCP,SG-893
10530,ESP,Messaging
33069,GRE,Staging
113,OSPF,Test
441,ESP,Prod
248,UDP,App4
764,IPv6,Test
315,OSPF,SG-843
1014,ESP,Dev
6334,GRE,Test
602,OSPF,Messaging
836,OSPF,Database
734,ESP,Prod
80,AH,Test
14138,ICMP,App2
26,OSPF,Test
813,OSPF,App4
142,IPv6,Test
752,GRE,Test
388,ICMP,Messaging
481,OSPF,SG-649
305,IPv6,Staging
64869,IPv6,Staging
783,TCP,Prod
1456,ESP,SG-123
154,ICMP,SG-99
45036,AH,Messaging
55533,AH,App3
53921,IPv6,SG-91
45924,TCP,Database
51629,GRE,Messaging
42966,ICMP,Database
578,ICMP,App3
36782,ICMP,Prod
52515,AH,SG-120
989,ICMP,App4
238,ICMP,Test
45953,AH,App4
633,IPv6,Web
63804,ICMPv6,SG-19
5179,ICMPv6,App1
167,ICMP,SG-579
747,ICMP,Cache
525,AH,App4
510,ESP,Cache
693,AH,App1
912,ESP,App3
798,IPv6,Staging
516,ICMPv6,SG-253
60864,AH,Web
576,ICMPv6,Dev
1022,ESP,App2
391,UDP,Cache
28709,OSPF,App3
981,ICMP,App3
59857,AH,Test
61509,GRE,Database
129,ICMP,App1
48560,TCP,App4
60740,GRE,SG-492
5765,ESP,App3
692,IPv6,Cache
55876,UDP,SG-882
59068,TCP,Cache
55337,TCP,SG-471
712,TCP,SG-643
601,GRE,Cache
787,OSPF,App3
15341,OSPF,Web
63542,OSPF,App3
948,OSPF,Dev
48745,AH,SG-31
837,OSPF,App1
394,AH,SG-785
63951,IPv6,App1
553,TCP,Staging
50442,ICMPv6,Web
3206,TCP,SG-643
138,ICMP,Staging
609,ICMPv6,SG-603
289,UDP,Database
758,ESP,SG-989
623,GRE,SG-542
48883,TCP,Database
27564,ICMP,SG-310
636,GRE,App4
350,GRE,App1
8494,TCP,App2
362,ESP,Prod
555,AH,SG-679
601,OSPF,App3
690,IPv6,App1
64134,ICMP,Test
1001,AH,Test
876,TCP,App3
786,OSPF,Prod
634,GRE,App4
798,OSPF,SG-258
927,ESP,Messaging
896,UDP,Dev
36,ICMPv6,Prod
12532,IPv6,App2
257,ESP,Messaging
2033,ICMP,SG-430
51879,IPv6,SG-66
598,OSPF,Web
65414,OSPF,App2
35915,TCP,Prod
4145,ICMPv6,App2
37034,TCP,Dev
359,GRE,SG-412
51552,ICMP,App3
721,ICMPv6,SG-708
749,ESP,App4
48199,ICMP,App3
376,ICMP,App2
56177,ICMPv6,App3
120,ESP,SG-853
977,TCP,Staging
941,ICMP,App3
550,AH,App4
104,TCP,Web
482,AH,SG-337
46674,ICMPv6,SG-230
59305,GRE,App3
45712,ICMPv6,App4
52047,ICMP,SG-794
449,IPv6,SG-555
987,TCP,SG-117
